tau,f1,tp,fp,fn
0.001652673731800247,0.3582089552238806,48,171,1
0.0016527625812005136,0.3595505617977528,48,170,1
0.0016565370421712977,0.3609022556390978,48,169,1
0.0016592620673375185,0.36226415094339626,48,168,1
0.0016625514747297771,0.36363636363636365,48,167,1
0.00167211960285783,0.3650190114068441,48,166,1
0.0016723794616101725,0.36641221374045807,48,165,1
0.0016916280470514367,0.3692307692307692,48,163,1
0.0017019672454873047,0.3720930232558139,48,161,1
0.0017020560948875713,0.3735408560311284,48,160,1
0.0017098659442753195,0.37500000000000006,48,159,1
0.0017364365865311308,0.3764705882352941,48,158,1
0.001741228164597337,0.3779527559055118,48,157,1
0.001742250953902896,0.3794466403162055,48,156,1
0.0017437762190544459,0.380952380952381,48,155,1
0.0017519080526805996,0.38247011952191234,48,154,1
0.001775285611064269,0.38399999999999995,48,153,1
0.001794910866289186,0.38554216867469876,48,152,1
0.001828573258423596,0.3870967741935484,48,151,1
0.0018294481139067885,0.38866396761133604,48,150,1
0.0018352097185370558,0.3902439024390244,48,149,1
0.0018388972535583312,0.39183673469387753,48,148,1
0.0018589098241747865,0.3934426229508197,48,147,1
0.001858999994383761,0.39506172839506176,48,146,1
0.0018698182113523866,0.39669421487603307,48,145,1
0.0018842615471653607,0.3983402489626556,48,144,1
0.0019005861993229784,0.39999999999999997,48,143,1
0.00190787857175808,0.4050632911392405,48,140,1
0.0019547366045609004,0.40677966101694923,48,139,1
0.001996334040103837,0.40851063829787226,48,138,1
0.0020151318431708897,0.41025641025641024,48,137,1
0.002031162836582856,0.4120171673819742,48,136,1
0.0020422491151462344,0.41379310344827586,48,135,1
0.002076163998128169,0.4155844155844156,48,134,1
0.002121753033921302,0.41739130434782606,48,133,1
0.0021812079001910854,0.4192139737991266,48,132,1
0.0021933218799003724,0.42105263157894735,48,131,1
0.002211316570378677,0.4229074889867841,48,130,1
0.0022319086435061484,0.42477876106194695,48,129,1
0.0022406959658971947,0.4285714285714286,48,127,1
0.002274787674974658,0.430493273542601,48,126,1
0.002289409394825738,0.4324324324324324,48,125,1
0.002290948702999899,0.4343891402714932,48,124,1
0.002297102352916694,0.43636363636363634,48,123,1
0.0022996226014461007,0.4383561643835616,48,122,1
0.002327185344001038,0.44036697247706424,48,121,1
0.002363679363803129,0.4423963133640552,48,120,1
0.0024023562314773976,0.4444444444444444,48,119,1
0.002408150457219101,0.4465116279069767,48,118,1
0.002493121832696398,0.4485981308411215,48,117,1
0.0025125446557876345,0.45070422535211263,48,116,1
0.0025168924535443394,0.4528301886792453,48,115,1
0.0025384501254835023,0.45497630331753547,48,114,1
0.0025557166538224796,0.45714285714285724,48,113,1
0.0025627835177371404,0.4593301435406698,48,112,1
0.002644119011695102,0.46153846153846156,48,111,1
0.002823937989028304,0.46376811594202894,48,110,1
0.0028331952839830026,0.4660194174757281,48,109,1
0.002862779789353666,0.4682926829268293,48,108,1
0.0029435886916755393,0.47058823529411764,48,107,1
0.0029751997244835114,0.47290640394088673,48,106,1
0.003145114165984354,0.4752475247524752,48,105,1
0.0032778539197610874,0.4776119402985075,48,104,1
0.003324298285436339,0.48,48,103,1
0.0033629169447532753,0.4824120603015075,48,102,1
0.003403954234543407,0.4848484848484848,48,101,1
0.0035071134012303884,0.4873096446700507,48,100,1
0.003534748114101492,0.4897959183673469,48,99,1
0.0037604933826319194,0.4923076923076923,48,98,1
0.0037972903947191376,0.4948453608247423,48,97,1
0.004101879260563794,0.49740932642487046,48,96,1
0.004203736688603869,0.5,48,95,1
0.004330697743556469,0.5026178010471204,48,94,1
